Column1;Column2;Column3;Column4;Column5;Column6
OVO001831;Dienst van de Bestuursrechtscolleges;Vlaamse overheid;Dienst van de Bestuursrechtscolleges;;https://data.vlaanderen.be/id/organisatie/OVO001831
OVO001832;Audit Vlaanderen;Vlaamse overheid;Audit Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO001832
OVO001833;Agentschap Overheidspersoneel;Vlaamse overheid;Agentschap Overheidspersoneel;;https://data.vlaanderen.be/id/organisatie/OVO001833
OVO001834;Agentschap Facilitair Bedrijf;Vlaamse overheid;Agentschap Facilitair Bedrijf;;https://data.vlaanderen.be/id/organisatie/OVO001834
OVO001835;Agentschap Binnenlands Bestuur;Vlaamse overheid;Agentschap Binnenlands Bestuur;;http://data.lblod.info/id/bestuurseenheden/141d9d6b-54af-4d17-b313-8d1c30bc3f5b
OVO001835;Agentschap Binnenlands Bestuur;Vlaamse overheid;Agentschap Binnenlands Bestuur;;https://data.vlaanderen.be/id/organisatie/OVO001835
OVO001841;vzw ‘de Rand’;Vlaamse overheid;vzw ‘de Rand’;;https://data.vlaanderen.be/id/organisatie/OVO001841
OVO001842;Muntpunt;Vlaamse overheid;Muntpunt;;https://data.vlaanderen.be/id/organisatie/OVO001842
OVO001843;Toegankelijk Vlaanderen;Vlaamse overheid;Toegankelijk Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO001843
OVO001845;VLAAMSE VERENIGING VOOR ICT-PERSONEEL;Vlaamse overheid;VLAAMSE VERENIGING VOOR ICT-PERSONEEL;;https://data.vlaanderen.be/id/organisatie/OVO001845
OVO001846;Agentschap Integratie en Inburgering;Vlaamse overheid;Agentschap Integratie en Inburgering;;https://data.vlaanderen.be/id/organisatie/OVO001846
OVO001847;Sociaal Economische Raad van Vlaanderen;Vlaamse overheid;Sociaal Economische Raad van Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO001847
OVO001951;Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen;Vlaamse overheid;Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen;;https://data.vlaanderen.be/id/organisatie/OVO001951
OVO001992;Stad Aalst;Lokale overheid;Aalst;Gemeente;http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4
